/home/ap/multi_cam/src/original_big/ori_173.jpg 6 1122833 60133 62822 50 55  |  44.689571 0.995797 0.998333 0.875129 43.503067 54.403198  |  44.888432 0.995974 0.998444 0.879085 43.752056 54.832653  |  
/home/ap/multi_cam/src/original_big/ori_013.jpg 6 1235484 77458 78316 50 55  |  43.669075 0.998255 0.999107 0.885706 42.711380 55.833961  |  43.818260 0.998329 0.999153 0.888036 42.909004 56.159882  |  
/home/ap/multi_cam/src/original_big/ori_151.jpg 6 1107532 80773 82476 50 55  |  45.831238 0.998137 0.999173 0.914288 44.433132 56.522957  |  46.044125 0.998220 0.999210 0.917522 44.672546 56.858784  |  
/home/ap/multi_cam/src/original_big/ori_179.jpg 6 942116 55606 57892 50 55  |  47.407291 0.999293 0.999279 0.937261 45.413754 57.415665  |  47.658634 0.999335 0.999335 0.940238 45.724926 57.712727  |  
/home/ap/multi_cam/src/original_big/ori_053.jpg 6 1403883 78514 80147 50 55  |  44.406284 0.999019 0.999241 0.902650 42.396164 54.859615  |  44.539265 0.999040 0.999253 0.904806 42.567181 54.932850  |  
/home/ap/multi_cam/src/original_big/ori_163.jpg 6 1220874 68563 69342 50 55  |  43.814583 0.993942 0.998034 0.858213 42.690224 52.861580  |  43.964371 0.993927 0.998073 0.860793 42.884842 52.933064  |  
/home/ap/multi_cam/src/original_big/ori_043.jpg 6 894145 69652 71907 50 55  |  45.535618 0.998661 0.998993 0.918129 43.827225 54.816551  |  45.876137 0.998765 0.999079 0.922456 44.170647 55.317303  |  
/home/ap/multi_cam/src/original_big/ori_165.jpg 6 1249109 78826 82003 50 55  |  43.194805 0.996731 0.998779 0.872508 42.191193 54.154617  |  43.425682 0.996911 0.998874 0.876949 42.499077 54.624424  |  
/home/ap/multi_cam/src/original_big/ori_095.jpg 6 992050 73214 74772 50 55  |  43.533264 0.998750 0.999161 0.897492 42.743069 55.599228  |  43.624836 0.998781 0.999162 0.899472 42.807915 55.448601  |  
/home/ap/multi_cam/src/original_big/ori_123.jpg 6 936026 60407 63424 50 56  |  44.578693 0.998731 0.999329 0.908260 44.148254 57.473068  |  44.819881 0.998780 0.999342 0.910688 44.398144 57.553005  |  
/home/ap/multi_cam/src/original_big/ori_073.jpg 6 1485908 67912 69223 50 55  |  44.530735 0.998616 0.998946 0.896879 42.629219 54.786560  |  44.596344 0.998644 0.998975 0.898087 42.727917 54.901375  |  
/home/ap/multi_cam/src/original_big/ori_141.jpg 6 809347 48287 50208 50 55  |  47.832874 0.999319 0.999616 0.943798 46.636543 58.975464  |  48.048698 0.999349 0.999623 0.945803 46.790604 58.964722  |  
/home/ap/multi_cam/src/original_big/ori_063.jpg 6 1285145 51016 53025 50 55  |  46.753349 0.999424 0.999185 0.933500 44.397686 55.967709  |  46.750179 0.999427 0.999174 0.933946 44.396706 55.767052  |  
/home/ap/multi_cam/src/original_big/ori_049.jpg 6 674761 45306 46639 50 55  |  48.659851 0.998695 0.999373 0.944956 47.380119 58.918503  |  48.792389 0.998730 0.999354 0.946745 47.349869 58.499344  |  
/home/ap/multi_cam/src/original_big/ori_119.jpg 6 1380065 95719 98990 50 55  |  42.043060 0.992759 0.997860 0.835913 41.328037 51.871685  |  42.313156 0.993068 0.998018 0.841814 41.703442 52.326790  |  
/home/ap/multi_cam/src/original_big/ori_109.jpg 6 1120271 84944 87690 50 55  |  42.071789 0.996881 0.998948 0.861844 42.524048 55.462677  |  42.317924 0.997041 0.999001 0.866327 42.777542 55.713017  |  
/home/ap/multi_cam/src/original_big/ori_103.jpg 6 1061240 69571 69993 50 55  |  45.502739 0.999210 0.999202 0.916264 43.995060 56.714916  |  45.554760 0.999215 0.999208 0.917117 44.048435 56.717194  |  
/home/ap/multi_cam/src/original_big/ori_091.jpg 6 1055159 82761 86800 50 56  |  43.970264 0.998041 0.998888 0.883830 42.843208 55.681564  |  44.288303 0.998184 0.998983 0.889662 43.221882 56.125755  |  
/home/ap/multi_cam/src/original_big/ori_139.jpg 6 983941 70839 73940 50 55  |  42.721077 0.998196 0.999356 0.883510 43.737839 57.117294  |  43.096889 0.998333 0.999380 0.888663 44.063755 57.230171  |  
/home/ap/multi_cam/src/original_big/ori_003.jpg 6 1168709 80798 81892 50 55  |  43.005756 0.987714 0.996483 0.816123 42.293671 50.125546  |  43.175003 0.988078 0.996635 0.819537 42.528679 50.457703  |  
/home/ap/multi_cam/src/original_big/ori_023.jpg 6 1203777 68593 71172 50 55  |  44.808315 0.996710 0.998296 0.882523 43.516888 54.269730  |  45.020687 0.996856 0.998426 0.886515 43.820667 54.833466  |  
/home/ap/multi_cam/src/original_big/ori_169.jpg 6 1197468 76783 77912 50 55  |  43.198376 0.997897 0.999073 0.879077 42.639172 55.634209  |  43.368137 0.997972 0.999092 0.881679 42.836693 55.804417  |  
